id,city,population,area,district,latitude,longitude
397,Volyně,3023,20,okres Strakonice,49.1663541,13.8865967
398,Podivín,3011,17,okres Břeclav,48.8282341,16.8501418
399,Rotava,2999,12,okres Sokolov,50.3058704,12.5610769
400,Rtyně v Podkrkonoší,2997,13,okres Trutnov,50.505532,16.0711662
401,Slušovice,2980,7,okres Zlín,49.2478182,17.8014972
402,Loštice,2979,11,okres Šumperk,49.7449432,16.9281353
403,Chvaletice,2971,8,okres Pardubice,50.0348654,15.4184231
404,Moravský Beroun,2957,51,okres Olomouc,49.7939027,17.4427357
405,Kostelec na Hané,2951,13,okres Prostějov,49.5139792,17.0582398
406,Teplá,2946,113,okres Cheb,49.9875604,12.874645217105748
407,Miroslav,2945,26,okres Znojmo,48.9473112,16.3134526
408,Hodkovice nad Mohelkou,2944,13,okres Liberec,50.665862,15.0898509
409,Ivanovice na Hané,2942,21,okres Vyškov,49.305449,17.0936032
410,Morkovice-Slížany,2924,21,okres Kroměříž,49.2484586,17.2079269
411,Terezín,2924,13,okres Litoměřice,50.5110401,14.1499933
412,Žirovnice,2921,44,okres Pelhřimov,49.2531813,15.188238
413,Budišov nad Budišovkou,2908,79,okres Opava,49.802900750000006,17.615275408149046
414,Úštěk,2901,74,okres Litoměřice,50.5847441,14.3433242
415,Smiřice,2899,10,okres Hradec Králové,50.2995707,15.8645911
416,Městec Králové,2877,19,okres Nymburk,50.2071808,15.2975813
417,Vejprty,2871,9,okres Chomutov,50.4923155,13.0321201
418,Sedlec-Prčice,2854,64,okres Příbram,49.5726082,14.5326911
419,Raspenava,2851,41,okres Liberec,50.9041544,15.1146468
420,Zákupy,2850,40,okres Česká Lípa,50.6844952,14.6454503
421,Jevíčko,2841,23,okres Svitavy,49.6324875,16.7118442
422,Hrádek,2831,6,okres Rokycany,48.7731024,16.2717745
423,Spálené Poříčí,2820,57,okres Plzeň-jih,49.6137072,13.6055617
424,Kunštát,2787,24,okres Blansko,49.506451,16.5172192
425,Konice,2784,24,okres Prostějov,49.5905186,16.8894268
426,Javorník,2768,77,okres Jeseník,49.7827134,16.4273785
427,Dolní Bousov,2761,24,okres Mladá Boleslav,50.4382479,15.1281248
428,Koryčany,2756,41,okres Kroměříž,49.1063907,17.1643277
429,Český Dub,2752,22,okres Liberec,50.6607076,14.9957954
430,Rychnov u Jablonce nad Nisou,2749,12,okres Jablonec nad Nisou,50.6837901,15.149789
431,Březová,2725,59,okres Sokolov,49.2602662,17.7912441
432,Hejnice,2721,38,okres Liberec,50.0558831,16.3994139
433,Plasy,2715,57,okres Plzeň-sever,49.933503,13.3895611
434,Mladá Vožice,2704,31,okres Tábor,49.5331269,14.8085653
435,Kelč,2689,27,okres Vsetín,49.4787107,17.8152939
436,Golčův Jeníkov,2673,27,okres Havlíčkův Brod,49.8160108,15.4772768
437,Velké Hamry,2650,9,okres Jablonec nad Nisou,50.7137344,15.3153896
438,Rokytnice nad Jizerou,2640,36,okres Semily,50.7258788,15.433522
439,Neveklov,2638,54,okres Benešov,49.7535116,14.533402
440,Vyšší Brod,2621,69,okres Český Krumlov,48.6154234,14.3120378
441,Nové Sedlo,2599,16,okres Sokolov,50.339638,13.4748279
442,Netolice,2587,26,okres Prachatice,49.0493797,14.1962532
443,Luže,2560,30,okres Chrudim,49.8934114,16.0284252
444,Počátky,2551,30,okres Pelhřimov,49.2602542,15.2404051
445,Rudolfov,2544,3,okres České Budějovice,48.9936055,14.5411628
446,Karolinka,2528,42,okres Vsetín,49.3512769,18.2400622
447,Nové Hrady,2524,79,okres České Budějovice,48.7896693,14.7783906
448,Chabařovice,2518,16,okres Ústí nad Labem,50.6728303,13.9424879
449,Jáchymov,2511,50,okres Karlovy Vary,50.3629787,12.9299257
450,Bohušovice nad Ohří,2505,8,okres Litoměřice,50.49316,14.1504836
451,Zbiroh,2500,31,okres Rokycany,49.8592406,13.7711465
452,Ždánice,2481,20,okres Hodonín,49.54746,16.262086
453,Chýnov,2480,30,okres Tábor,49.4067686,14.8112157
454,Tovačov,2467,22,okres Přerov,49.4305415,17.288071
455,Klobouky u Brna,2453,31,okres Břeclav,48.9950119,16.8595131
456,Dolní Kounice,2453,8,okres Brno-venkov,49.0701117,16.4649199
457,Meziměstí,2429,25,okres Náchod,50.6257349,16.2395252
458,Slavonice,2386,45,okres Jindřichův Hradec,48.9975333,15.3515379
459,Sobotka,2371,19,okres Jičín,50.46708565,15.172159342763022
460,Kryry,2345,39,okres Louny,50.1743688,13.4265963
461,Nechanice,2329,27,okres Hradec Králové,50.2373686,15.6327598
462,Žlutice,2305,53,okres Karlovy Vary,50.0919193,13.1629708
463,Plumlov,2304,11,okres Prostějov,49.4661363,17.0150159
464,Dašice,2303,17,okres Pardubice,50.0284447,15.91244
465,Janovice nad Úhlavou,2270,28,okres Klatovy,49.3452626,13.2175818
466,Mirošov,2263,13,okres Rokycany,49.4655968,16.1555436
467,Nová Včelnice,2254,10,okres Jindřichův Hradec,49.2393496,15.0726025
468,Horní Benešov,2253,20,okres Bruntál,49.9668211,17.6026237
469,Horní Jiřetín,2241,39,okres Most,50.5730927,13.54717
470,Kardašova Řečice,2199,45,okres Jindřichův Hradec,49.1847779,14.8531546
471,Mikulášovice,2189,25,okres Děčín,50.9650761,14.3628271
472,Solnice,2188,12,okres Rychnov nad Kněžnou,50.2030082,16.2383273
473,Město Touškov,2187,9,okres Plzeň-sever,49.7758711,13.2510792
474,Žebrák,2181,8,okres Beroun,49.8757847,13.8968154
475,Budyně nad Ohří,2175,33,okres Litoměřice,50.4042725,14.1259073
476,Luby,2146,30,okres Cheb,50.2524788,12.4059461
477,Veltrusy,2131,8,okres Mělník,50.2710734,14.3277379
478,Hranice,2129,31,okres Cheb,50.3045869,12.175772
479,Ralsko,2117,170,okres Česká Lípa,50.5857728,14.8040625
480,Horní Planá,2088,127,okres Český Krumlov,48.7673396,14.0321919
481,Proseč,2084,34,okres Chrudim,49.8059194,16.1164891
482,Kopidlno,2080,29,okres Jičín,50.330851,15.2702931
483,Borohrádek,2079,13,okres Rychnov nad Kněžnou,50.0978039,16.0932512
484,Týnec nad Labem,2063,15,okres Kolín,50.0418987,15.3580835
485,Svoboda nad Úpou,2062,7,okres Trutnov,50.6262304,15.8164318
486,Horní Jelení,2058,24,okres Pardubice,50.0490103,16.0839638
487,Hroznětín,2041,23,okres Karlovy Vary,50.3093974,12.8718012
488,Nový Knín,2039,29,okres Příbram,49.7871435,14.2907781
489,Rokytnice v Orlických horách,2022,40,okres Rychnov nad Kněžnou,50.1647335,16.4656749
490,Štíty,2021,29,okres Šumperk,49.9612234,16.7657581
491,Hrochův Týnec,2021,12,okres Chrudim,49.9594637,15.9105428
492,Jistebnice,2013,57,okres Tábor,49.4855293,14.5275997
493,Skalná,1999,23,okres Cheb,50.1702968,12.3614422
494,Němčice nad Hanou,1999,12,okres Prostějov,49.3420839,17.2056673
495,Hrob,1998,11,okres Teplice,50.6590894,13.7255293
496,Třebenice,1982,21,okres Litoměřice,50.4763245,13.9900472
497,Velký Šenov,1982,19,okres Děčín,50.9907708,14.3780786
498,Bochov,1980,95,okres Karlovy Vary,50.1504167,13.0454108
499,Pyšely,1971,12,okres Benešov,49.8767807,14.6770252
500,Zásmuky,1965,24,okres Kolín,49.9547046,15.0305803
501,Smečno,1962,9,okres Kladno,50.1884375,14.0403651
502,Plesná,1935,19,okres Cheb,50.2208012,12.3466609
503,Žandov,1895,27,okres Česká Lípa,50.7139357,14.3962321
504,Kouřim,1885,14,okres Kolín,50.0030568,14.977031
505,Lučany nad Nisou,1859,13,okres Jablonec nad Nisou,50.7413554,15.2204627
506,Vroutek,1846,52,okres Louny,50.1799876,13.3798578
507,Radnice,1832,10,okres Rokycany,49.8571241,13.606275
508,Horní Cerekev,1822,31,okres Pelhřimov,49.3202595,15.3276906
509,Lomnice nad Lužnicí,1778,18,okres Jindřichův Hradec,49.0815285,14.7181416
510,Hostomice,1765,28,okres Beroun,49.8252575,14.0456045
511,Libáň,1764,19,okres Jičín,50.3750037,15.2162186
512,Hrotovice,1751,20,okres Třebíč,49.1076992,16.0606741
513,Hoštka,1749,18,okres Litoměřice,50.4885904,14.3349996
514,Bělá nad Radbuzou,1745,83,okres Domažlice,49.5911481,12.717606
515,Černovice,1733,36,okres Pelhřimov,49.3725903,14.9599829
516,Dolní Poustevna,1732,11,okres Děčín,50.9803948,14.2873374
517,Staré Město,1726,86,okres Šumperk,50.1617351,16.9473409
518,Dubá,1723,60,okres Česká Lípa,50.5403416,14.5402337
519,Seč,1720,36,okres Chrudim,49.8473534,15.6571108
520,Jesenice,1719,37,okres Rakovník,50.0984577,13.4717743
521,Vlachovo Březí,1713,19,okres Prachatice,49.08135,13.9584176
522,Ronov nad Doubravou,1686,17,okres Chrudim,49.8882524,15.5314359
523,Nasavrky,1679,12,okres Chrudim,49.8443072,15.8047822
524,Švihov,1678,34,okres Klatovy,49.4813565,13.2841729
525,Oloví,1672,19,okres Sokolov,50.2513968,12.5586985
526,Olešnice,1672,12,okres Blansko,49.5577012,16.4223306
527,Březová nad Svitavou,1655,12,okres Svitavy,49.64652185,16.5340740944866
528,Plánice,1653,55,okres Klatovy,49.3899269,13.4710601
529,Jablonec nad Jizerou,1645,22,okres Semily,50.70344,15.4295952
530,Železná Ruda,1631,79,okres Klatovy,49.14256145,13.254655150393749
531,Rožďalovice,1629,23,okres Nymburk,50.3034933,15.1699546
532,Teplice nad Metují,1626,56,okres Náchod,50.5934272,16.1698265
533,Kladruby,1618,48,okres Tachov,49.7231666,14.9500494
534,Mirovice,1614,22,okres Písek,49.5155508,14.0358191
535,Přimda,1584,50,okres Tachov,49.6746089,12.6763078
536,Poběžovice,1574,27,okres Domažlice,49.5108301,12.8023911
537,Bavorov,1572,35,okres Strakonice,49.1218443,14.0789263
538,Bystré,1540,14,okres Svitavy,49.6282564,16.3469811
539,Mýto,1538,17,okres Rokycany,49.7889973,13.7346533
540,Všeruby,1493,23,okres Plzeň-sever,49.3407171,12.9832309
541,Lázně Kynžvart,1474,32,okres Cheb,50.0091635,12.6256333
542,Kožlany,1451,29,okres Plzeň-sever,49.9938908,13.5410653
543,Husinec,1451,10,okres Prachatice,50.1737416,14.3750778
544,Kašperské Hory,1449,44,okres Klatovy,49.1434723,13.5560577
545,Mšeno,1431,26,okres Mělník,50.4381922,14.6326066
546,Strmilov,1425,30,okres Jindřichův Hradec,49.1584643,15.1993375
547,Harrachov,1421,36,okres Semily,50.7720087,15.4315431
548,Strážov,1417,35,okres Klatovy,49.3034789,13.2483379
549,Svratka,1403,14,okres Žďár nad Sázavou,49.7111798,16.0315815
550,Trhový Štěpánov,1387,28,okres Benešov,49.7116864,15.0135299
551,Chřibská,1349,15,okres Děčín,50.863242,14.48297
552,Hostouň,1325,38,okres Domažlice,49.5597086,12.771467
553,Habry,1317,27,okres Havlíčkův Brod,49.756027,15.4848587
554,Železnice,1303,13,okres Jičín,50.4730968,15.3847325
555,Brandýs nad Orlicí,1303,4,okres Ústí nad Orlicí,50.0019438,16.285279
556,Kasejovice,1292,34,okres Plzeň-jih,49.4626974,13.7405997
557,Vysoké nad Jizerou,1290,20,okres Semily,50.6855879,15.4015246
558,Vidnava,1282,4,okres Jeseník,50.372434,17.1861229
559,Rovensko pod Troskami,1277,12,okres Semily,50.5318818,15.2664338
560,Pilníkov,1269,16,okres Trutnov,50.5327407,15.8201467
561,Sedlice,1252,30,okres Strakonice,49.3768585,13.9394057
562,Žulová,1247,14,okres Jeseník,50.3092956,17.0982234
563,Mirotice,1222,25,okres Písek,49.4290263,14.0368614
564,Úsov,1183,9,okres Šumperk,49.7983079,17.0105488
565,Potštát,1179,34,okres Přerov,49.6371952,17.6516964
566,Nalžovské Hory,1172,51,okres Klatovy,49.3335778,13.5496097
567,Jevišovice,1168,7,okres Znojmo,48.9874765,15.9896915
568,Verneřice,1158,31,okres Děčín,50.6611409,14.3011435
569,Černošín,1150,42,okres Tachov,49.8162537,12.8838251
570,Měčín,1145,38,okres Klatovy,49.4800853,13.402886
571,Manětín,1142,84,okres Plzeň-sever,49.9917746,13.2331924
572,Špindlerův Mlýn,1119,76,okres Trutnov,50.7256448,15.6067567
573,Osečná,1116,28,okres Liberec,50.6948889,14.9213752
574,Krásná Hora nad Vltavou,1107,36,okres Příbram,49.6046057,14.2774188
575,Liběchov,1083,11,okres Mělník,50.4078364,14.4467459
576,Červená Řečice,1003,26,okres Pelhřimov,49.5112314,15.1783645
577,Blšany,999,36,okres Louny,50.2173339,13.4712007
578,Bělčice,981,34,okres Strakonice,49.50241,13.87575
579,Abertamy,975,8,okres Karlovy Vary,50.3687443,12.8182601
580,Hartmanice,974,62,okres Klatovy,49.625229,16.3729273
581,Bezdružice,951,32,okres Tachov,49.907242,12.9711049
582,Bečov nad Teplou,934,19,okres Karlovy Vary,50.0834498,12.838314
583,Miletín,912,8,okres Jičín,50.4040885,15.6822852
584,Vysoké Veselí,865,9,okres Jičín,50.3309561,15.4363146
585,Stráž nad Nežárkou,862,36,okres Jindřichův Hradec,49.0697105,14.9055137
586,Deštná,749,12,okres Jindřichův Hradec,49.2651331,14.9239558
587,Krásno,709,25,okres Sokolov,50.1091787,12.7863069
588,Janské Lázně,699,13,okres Trutnov,50.6313766,15.7818364
589,Pec pod Sněžkou,657,52,okres Trutnov,50.6935744,15.7335607
590,Lipnice nad Sázavou,654,11,okres Havlíčkův Brod,49.6130233,15.4135596
591,Stárkov,644,16,okres Náchod,50.533924,16.1581733
592,Chyše,579,28,okres Karlovy Vary,50.1046274,13.2490662
593,Mašťov,570,23,okres Chomutov,50.262274,13.2804584
594,Ledvice,544,4,okres Teplice,50.5850123,13.7720256
595,Rabí,503,14,okres Klatovy,49.2809304,13.6188949
596,Úterý,470,25,okres Plzeň-sever,49.9400702,13.0041771
597,Hora Svaté Kateřiny,453,18,okres Most,50.6062324,13.4369475
598,Horní Blatná,412,5,okres Karlovy Vary,50.3902893,12.7702188
599,Krásné Údolí,400,9,okres Karlovy Vary,50.0723378,12.9212366
600,Výsluní,373,30,okres Chomutov,50.4664819,13.2373954
601,Rožmberk nad Vltavou,364,24,okres Český Krumlov,48.6545255,14.3656325
602,Andělská Hora,357,15,okres Bruntál,50.0608138,17.3890959
603,Janov,293,11,okres Bruntál,49.8407721,16.3852281
604,Rejštejn,255,30,okres Klatovy,49.140531,13.5151685
605,Boží Dar,253,37,okres Karlovy Vary,50.4097338,12.9244538
606,Loučná pod Klínovcem,111,20,okres Chomutov,50.4188425,12.9814194
607,Přebuz,73,29,okres Sokolov,50.3657774,12.6200389
