id,city,population,area,district,latitude,longitude
94,Poděbrady,14186,33,okres Nymburk,50.149751,15.128307453984743
95,Hlučín,13953,21,okres Opava,49.8982209,18.1919194
96,Zábřeh,13589,34,okres Šumperk,49.88287,16.8721836
97,Šternberk,13495,48,okres Olomouc,49.730712,17.2988474
98,Chodov,13394,14,okres Sokolov,49.4178263,12.8301371
99,Aš,13210,55,okres Cheb,50.22359205,12.185766532475133
100,Český Krumlov,13085,22,okres Český Krumlov,48.805114950000004,14.316197791106362
101,Roudnice nad Labem,12967,16,okres Litoměřice,50.4255496,14.2616915
102,Tachov,12802,40,okres Tachov,49.7955449,12.6329861
103,Mariánské Lázně,12800,51,okres Cheb,49.9739518,12.703319
104,Krupka,12624,46,okres Teplice,50.6847005,13.8577518
105,Vrchlabí,12461,27,okres Trutnov,50.6271452,15.6095779
106,Jaroměř,12433,23,okres Náchod,50.3555088,15.9185723
107,Vysoké Mýto,12335,42,okres Ústí nad Orlicí,49.9534727,16.1616455
108,Čelákovice,12260,15,okres Praha-východ,50.1607829,14.7500022
109,Milovice,11834,28,okres Nymburk,50.2259601,14.8886322
110,Nový Bor,11678,19,okres Česká Lípa,50.757878,14.5554953
111,Boskovice,11622,27,okres Blansko,49.496569300000004,16.661627904400362
112,Holešov,11606,33,okres Kroměříž,49.333718,17.5786751
113,Vlašim,11598,41,okres Benešov,49.7065924,14.8987513
114,Velké Meziříčí,11484,40,okres Žďár nad Sázavou,49.3554996,16.0121507
115,Uničov,11396,48,okres Olomouc,49.7711837,17.1213944
116,Kyjov,11218,29,okres Hodonín,49.0104456,17.1224867
117,Jeseník,11192,38,okres Jeseník,50.2296385,17.2046012
118,Domažlice,11150,24,okres Domažlice,49.4407069,12.9298338
119,Sušice,11110,45,okres Klatovy,49.2313907,13.5204076
120,Rumburk,11082,24,okres Děčín,50.9517739,14.5569317
121,Veselí nad Moravou,11006,35,okres Hodonín,48.9540796,17.379034
122,Rychnov nad Kněžnou,10998,34,okres Rychnov nad Kněžnou,50.1631069,16.274837
123,Kuřim,10997,17,okres Brno-venkov,49.2987857,16.531396
124,Humpolec,10894,51,okres Pelhřimov,49.5418861,15.3586709
125,Prachatice,10874,38,okres Prachatice,49.0131123,13.9977479
126,Frenštát pod Radhoštěm,10820,11,okres Nový Jičín,49.5474224,18.2117067
127,Litomyšl,10429,33,okres Svitavy,49.8725491,16.3101243
128,Čáslav,10326,26,okres Kutná Hora,49.9109171,15.3913205
129,Nové Město na Moravě,10098,61,okres Žďár nad Sázavou,49.5616916,16.0744185
130,Moravská Třebová,10070,42,okres Svitavy,49.7581979,16.6642129
131,Lanškroun,9991,20,okres Ústí nad Orlicí,49.9124356,16.6118541
132,Frýdlant nad Ostravicí,9964,21,okres Frýdek-Místek,49.5930718,18.3596301
133,Litovel,9810,46,okres Olomouc,49.7014789,17.0761064
134,Ivančice,9742,47,okres Brno-venkov,49.1015881,16.3776051
135,Lysá nad Labem,9717,33,okres Nymburk,50.2016983,14.832757
136,Hlinsko,9677,24,okres Chrudim,49.7625672,15.907339
137,Přelouč,9659,30,okres Pardubice,50.0401412,15.5603286
138,Studénka,9536,30,okres Nový Jičín,49.7137494,18.0610845
139,Jesenice,9448,17,okres Praha-západ,49.9687565,14.5158132
140,Nové Město nad Metují,9436,23,okres Náchod,50.3442064,16.1512997
141,Králův Dvůr,9357,15,okres Beroun,49.9502063,14.0344556
142,Tišnov,9257,17,okres Brno-venkov,49.348838,16.4244906
143,Chotěboř,9250,54,okres Havlíčkův Brod,49.7205393,15.6699904
144,Mohelnice,9189,46,okres Šumperk,49.7769472,16.9196183
145,Nová Paka,9094,28,okres Jičín,50.4947616,15.5149801
146,Dobříš,8983,53,okres Příbram,49.7813749,14.1704372
147,Lovosice,8837,11,okres Litoměřice,50.5153052,14.0509704
148,Polička,8748,33,okres Svitavy,49.7149137,16.2653869
149,Mnichovo Hradiště,8729,34,okres Mladá Boleslav,50.5233731,14.979577888259035
150,Štětí,8685,53,okres Litoměřice,50.4529665,14.3746577
151,Choceň,8646,21,okres Ústí nad Orlicí,50.0018735,16.2229788
152,Hořice,8621,21,okres Jičín,50.3665337,15.6321735
153,Hostivice,8546,14,okres Praha-západ,50.0815167,14.2585743
154,Roztoky,8529,8,okres Praha-západ,50.1586802,14.3975468
155,Duchcov,8517,15,okres Teplice,50.6040315,13.7461464
156,Příbor,8452,22,okres Nový Jičín,49.6401091,18.1438062
157,Semily,8367,16,okres Semily,50.602249,15.33526
158,Červený Kostelec,8352,24,okres Náchod,50.4762415,16.0928977
159,Milevsko,8277,42,okres Písek,49.4503023,14.3595152
160,Třeboň,8253,98,okres Jindřichův Hradec,49.0064356,14.7633295
161,Rýmařov,8247,60,okres Bruntál,49.9320352,17.2714574
162,Bystřice pod Hostýnem,8169,26,okres Kroměříž,49.399451,17.6737912
163,Bystřice nad Pernštejnem,8110,53,okres Žďár nad Sázavou,49.5228805,16.2613311
164,Lipník nad Bečvou,8024,30,okres Přerov,49.5273114,17.5861035
165,Týn nad Vltavou,8000,43,okres České Budějovice,49.2233024,14.4211263
166,Dubí,7870,33,okres Teplice,50.6812997,13.788771
167,Nejdek,7807,52,okres Karlovy Vary,50.3247878,12.7332967
168,Hrádek nad Nisou,7722,48,okres Liberec,50.8522229,14.8436667
169,Stříbro,7680,47,okres Tachov,49.7530168,13.0049136
170,Šlapanice,7563,14,okres Brno-venkov,49.1688974,16.7272687
171,Frýdlant,7531,31,okres Liberec,50.9216775,15.0794594
172,Rychvald,7457,17,okres Karviná,49.8663296,18.376392
173,Broumov,7444,22,okres Náchod,50.5853016,16.3324545
174,Bílovec,7419,38,okres Nový Jičín,49.7567664,18.01623
