id,distance-km,time-hr
564,231.43,2.94
565,317.50,3.12
566,152.64,1.85
567,196.69,2.34
568,79.61,1.19
569,146.01,1.68
570,125.46,1.49
571,109.11,1.62
572,144.22,2.05
573,113.91,1.43
574,77.08,1.09
575,51.91,0.71
576,99.60,1.18
577,84.60,1.16
578,85.06,1.21
579,147.08,2.02
580,163.09,2.12
581,134.58,1.79
582,134.04,1.88
583,119.92,1.63
584,104.96,1.45
585,149.34,1.86
586,127.04,1.67
587,141.35,2.00
588,171.16,2.15
589,181.04,2.36
590,116.63,1.36
591,169.57,2.24
592,95.38,1.33
593,100.11,1.51
594,99.55,1.12
595,137.40,1.84
596,133.22,1.71
597,107.47,1.66
598,153.21,2.13
599,127.86,1.79
600,107.71,1.38
601,199.52,2.52
602,353.42,3.88
603,279.49,4.04
604,159.66,2.26
605,137.94,1.88
606,134.15,1.84
607,155.54,2.32
