id,city,population,area,district
59,Bohumín,20690,31,okres Karviná
60,Kutná Hora,20580,33,okres Kutná Hora
61,Blansko,20572,44,okres Blansko
62,Náchod,19979,33,okres Náchod
63,Beroun,19510,31,okres Beroun
64,Mělník,19486,24,okres Mělník
65,Jirkov,19299,17,okres Chomutov
66,Brandýs nad Labem-Stará Boleslav,19136,22,okres Praha-východ
67,Žatec,19133,42,okres Louny
68,Louny,18351,24,okres Louny
69,Kadaň,18202,65,okres Chomutov
70,Kralupy nad Vltavou,18194,21,okres Mělník
71,Hranice,18057,49,okres Přerov
72,Otrokovice,17876,19,okres Zlín
73,Bílina,17166,32,okres Teplice
74,Svitavy,16838,31,okres Svitavy
75,Ostrov,16731,50,okres Karlovy Vary
76,Benešov,16656,46,okres Benešov
77,Jičín,16577,24,okres Jičín
78,Uherský Brod,16493,52,okres Uherské Hradiště
79,Rožnov pod Radhoštěm,16420,39,okres Vsetín
80,Bruntál,16408,29,okres Bruntál
81,Neratovice,16163,20,okres Mělník
82,Pelhřimov,16069,95,okres Pelhřimov
83,Rakovník,15846,18,okres Rakovník
84,Slaný,15834,35,okres Kladno
85,Říčany,15619,25,okres Praha-východ
86,Dvůr Králové nad Labem,15594,35,okres Trutnov
87,Česká Třebová,15508,40,okres Ústí nad Orlicí
88,Varnsdorf,15297,26,okres Děčín
89,Nymburk,15063,20,okres Nymburk
90,Klášterec nad Ohří,14533,53,okres Chomutov
91,Turnov,14334,22,okres Semily
92,Ústí nad Orlicí,14196,36,okres Ústí nad Orlicí
93,Rokycany,14192,30,okres Rokycany
94,Poděbrady,14186,33,okres Nymburk
95,Hlučín,13953,21,okres Opava
96,Zábřeh,13589,34,okres Šumperk
97,Šternberk,13495,48,okres Olomouc
98,Chodov,13394,14,okres Sokolov
99,Aš,13210,55,okres Cheb
100,Český Krumlov,13085,22,okres Český Krumlov
101,Roudnice nad Labem,12967,16,okres Litoměřice
102,Tachov,12802,40,okres Tachov
103,Mariánské Lázně,12800,51,okres Cheb
104,Krupka,12624,46,okres Teplice
105,Vrchlabí,12461,27,okres Trutnov
106,Jaroměř,12433,23,okres Náchod
107,Vysoké Mýto,12335,42,okres Ústí nad Orlicí
108,Čelákovice,12260,15,okres Praha-východ
109,Milovice,11834,28,okres Nymburk
110,Nový Bor,11678,19,okres Česká Lípa
111,Boskovice,11622,27,okres Blansko
112,Holešov,11606,33,okres Kroměříž
113,Vlašim,11598,41,okres Benešov
114,Velké Meziříčí,11484,40,okres Žďár nad Sázavou
115,Uničov,11396,48,okres Olomouc
116,Kyjov,11218,29,okres Hodonín
117,Jeseník,11192,38,okres Jeseník
118,Domažlice,11150,24,okres Domažlice
119,Sušice,11110,45,okres Klatovy
120,Rumburk,11082,24,okres Děčín
121,Veselí nad Moravou,11006,35,okres Hodonín
122,Rychnov nad Kněžnou,10998,34,okres Rychnov nad Kněžnou
123,Kuřim,10997,17,okres Brno-venkov
124,Humpolec,10894,51,okres Pelhřimov
125,Prachatice,10874,38,okres Prachatice
126,Frenštát pod Radhoštěm,10820,11,okres Nový Jičín
127,Litomyšl,10429,33,okres Svitavy
128,Čáslav,10326,26,okres Kutná Hora
129,Nové Město na Moravě,10098,61,okres Žďár nad Sázavou
130,Moravská Třebová,10070,42,okres Svitavy
131,Lanškroun,9991,20,okres Ústí nad Orlicí
132,Frýdlant nad Ostravicí,9964,21,okres Frýdek-Místek
133,Litovel,9810,46,okres Olomouc
134,Ivančice,9742,47,okres Brno-venkov
135,Lysá nad Labem,9717,33,okres Nymburk
136,Hlinsko,9677,24,okres Chrudim
