id,lat,lon
1,50.0874654,14.4212535
2,49.1922443,16.6113382
3,49.8349139,18.2820084
4,49.7477415,13.3775249
5,50.7702648,15.0583947
6,49.5940567,17.251143
7,48.9747357,14.474285
8,50.6603327,14.0381357
9,50.2094963,15.832719
10,50.0385812,15.7791356
11,49.226766,17.6667415
12,49.7801136,18.4368451
13,50.1478497,14.1025379
14,50.5032737,13.636112
15,49.9389004,17.9024174
16,49.685635,18.3483416
17,49.8542719,18.5416556
18,49.396064,15.5903065
19,50.6406644,13.8244461
20,50.7824196,14.2147221
21,50.4607421,13.4177224
22,50.2304694,12.8710769
23,50.7240899,15.1710958
24,50.4116187,14.9031301
25,49.4721467,17.1117979
26,49.4553775,17.4508621
27,50.6865452,14.5372974
28,49.2151907,15.8816091
29,49.6779212,18.6711993
30,49.4140896,14.6584713
31,48.8554341,16.0489457
32,49.6901444,14.0103663
33,50.0793511,12.3703526
34,50.0288894,15.2011571
35,50.5608851,15.9130498
36,49.3089887,14.147769
37,49.8459427,18.4309274
38,49.2984191,17.3929804
39,49.3389775,17.9961534
40,49.9655521,16.9705651
41,49.0681018,17.4663899
42,48.7594008,16.8813137
43,48.8492027,17.1324031
44,49.7464018,18.6260976
45,50.5340795,14.1317985
46,50.6009532,13.6110485
47,49.594881,18.0102584
48,50.089937,17.7038079
49,49.607079,15.5794883
50,50.1815641,12.640035
51,49.9511458,15.7947559
52,49.2662501,13.913701605344116
53,49.3951183,13.2935954
54,49.4716056,17.971593
55,49.598913,18.1452134
56,49.1443265,15.003354
57,49.2778194,16.9994446
58,49.5629014,15.9391924
59,49.9041537,18.3574288
60,49.9486561,15.2681123
61,49.3621289,16.645061176260818
62,50.4167811,16.1630918
63,49.9640292,14.0733907
64,50.3520785,14.4748281
65,50.5000597,13.4476266
66,50.1912412,14.6649786
67,50.3274423,13.545952
68,50.3572555,13.7966137
69,50.3761991,13.2710364
70,50.2421243,14.3118883
71,49.548233,17.7346535
72,49.215040099999996,17.53427813299387
73,50.5484048,13.7747641
74,49.7562053,16.4688995
75,50.3061911,12.9390017
76,49.7818921,14.6869121
77,50.4370452,15.3516528
78,49.0253139,17.6464437
79,49.4587958,18.1429843
80,49.9885113,17.4652901
81,50.2598479,14.5175086
82,49.4308737,15.2232341
83,50.1039674,13.7333385
84,50.2306933,14.0868501
85,49.9919444,14.6542365
86,50.4319898,15.8139714
